Puissance;PoidsAVide;ConsoMixte;CO2;Energie
135;1800;7.421;168.7;ESS+ELEC HNR
67;1122;6.159;139.35;ESSENCE
103;1329;6.338;143;ESS+ELEC HNR
135;1900;1.505;34.22;ELEC+ESSENC HR
250;2005;6.501;170.2;GAZ+ELEC HNR
80;1340;5.753;131.4;ESSENCE
110;2034;6.817;178.92;GAZOLE
100;1320;5.577;127.1;ESSENCE
96;1448;4.887;128.14;GAZOLE
135;1525;6.231;141.8;ESSENCE
460;2025;10.988;251;ESSENCE
68;1041;5.331;120.6;ESSENCE
170;1275;6.536;148.7;ESSENCE
100;1470;6.169;140.4;ESSENCE
67;1099;5.154;116.57;ESSENCE
243;2225;2.2;50.8;ELEC+ESSENC HR
96;1320;4.675;122.58;GAZOLE
90;1646;4.894;128.3;GAZOLE
140;1605;4.519;118.4;GAZ+ELEC HNR
165;1540;6.47;146.37;ESSENCE
100;1370;4.498;117.8;GAZ+ELEC HNR
110;1335;5.652;127.5;ESSENCE
91.9;1136;4.914;110.9;ESS+ELEC HNR
140;1760;5.038;132;GAZ+ELEC HNR
110;1810;5.546;145.2;GAZ+ELEC HNR
100;1510;4.954;129.71;GAZ+ELEC HNR
100;1320;5.577;127.1;ESSENCE
80;1320;5.626;128.4;ESSENCE
140;1705;4.784;125.3;GAZ+ELEC HNR
110;1551;5.136;134.7;GAZOLE
51.5;958;4.979;113.6;ESS+ELEC HNR
100;1505;6.858;156.1;ESSENCE
132.4;1640;6.161;140;ESS+ELEC HNR
250;1925;5.822;152.4;GAZ+ELEC HNR
95;1270;6.247;141.12;ESS+ELEC HNR
110;1330;6.414;145.8;ESSENCE
125;2058;6.941;182.22;GAZOLE
91.9;1136;4.914;110.9;ESS+ELEC HNR
80;1340;5.753;131.4;ESSENCE
375;1730;9.635;219;ESSENCE
140;1840;5.243;137.2;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
135;1525;6.231;141.8;ESSENCE
100;1375;5.577;127.1;ESSENCE
100;1500;6.281;141.8;ESSENCE
180;1815;7.487;170.2;ESS+ELEC HNR
131;1480;6.359;144.8;ESSENCE
140;1580;4.547;119.1;GAZ+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
140;1605;4.519;118.4;GAZ+ELEC HNR
131;1430;5.902;134.7;ESSENCE
96;1420;5.768;131;ESS+ELEC HNR
85;1417;4.551;119.3;GAZOLE
131;1325;5.803;131.9;ESSENCE
96;1475;6.618;149.78;ESSENCE
75;1390;6.084;139;ESSENCE
140;1670;4.862;127.4;GAZ+ELEC HNR
135;1490;6.206;140.9;ESSENCE
100;1290;5.585;127.3;ESSENCE
140;1705;4.784;125.3;GAZ+ELEC HNR
49;1028;5.219;118;ESSENCE
80;1340;5.753;131.4;ESSENCE
81;1205;4.297;112.64;GAZOLE
125;2212;6.941;182.22;GAZOLE
96;1205;4.815;126.29;GAZOLE
110;1803;6.355;145.57;ESS+ELEC HNR
91.9;1136;4.914;110.9;ESS+ELEC HNR
96;1475;6.618;149.78;ESSENCE
131;1470;6.445;146.8;ESSENCE
75;1420;6.157;140.3;ESSENCE
100;1285;5.437;123.5;ESSENCE
110;1330;5.647;128.4;ESSENCE
92;1284;5.88;134;ESSENCE
85;1410;4.271;112;GAZOLE
75;1330;5.926;135;ESSENCE
75;1420;6.157;140.3;ESSENCE
110;1580;1.231;27.91;ELEC+ESSENC HR
131;1390;5.902;134.7;ESSENCE
110;2010;6.817;178.92;GAZOLE
68;1041;5.331;120.6;ESSENCE
353;1545;10.493;238;ESSENCE
100;1375;5.577;127.1;ESSENCE
100;1531;4.961;129.9;GAZ+ELEC HNR
110;1570;5.263;137.9;GAZOLE
243;2220;1.9;43.9;ELEC+ESSENC HR
81;1278;4.689;106.6;ESS+ELEC HNR
100;1500;6.322;142.7;ESSENCE
110;1308;4.936;112;ESS+ELEC HNR
132;1860;1.843;43.84;ELEC+ESSENC HR
49;1028;5.219;118;ESSENCE
96;1188;5.566;126;ESSENCE
61;980;5.288;118.79;ESSENCE
69;1361;4.714;106.22;ESS+ELEC HNR
110;1540;5.082;133;GAZOLE
85;1430;4.551;119.3;GAZOLE
140;1840;5.621;147.2;GAZ+ELEC HNR
96;1420;5.768;131;ESS+ELEC HNR
132;1860;1.843;43.84;ELEC+ESSENC HR
206;1429;6.995;158.5;ESSENCE
112;1626;5.413;124.03;ESS+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
110;1647;4.977;130.4;GAZOLE
210;1925;5.726;149.9;GAZ+ELEC HNR
51.5;1003;4.662;106;ESS+ELEC HNR
100;1290;5.585;127.3;ESSENCE
275;1740;7.435;169.4;ESS+ELEC HNR
51.5;999;4.979;113.6;ESS+ELEC HNR
165;1540;6.47;146.37;ESSENCE
110;1605;5.374;140.8;GAZOLE
110;1510;4.949;129.5;GAZOLE
100;1470;6.169;140.4;ESSENCE
460;1900;10.988;251;ESSENCE
225;1570;7.151;161.5;ESSENCE
110;1981;6.817;178.92;GAZOLE
132;1770;1.889;43.2;ELEC+ESSENC HR
135;1800;7.421;168.7;ESS+ELEC HNR
245;1875;8.402;191.9;ESSENCE
324;2230;2.1;47.5;ELEC+ESSENC HR
110;2035;6.817;178.92;GAZOLE
116;1347;5.825;131.5;ESS+ELEC HNR
140;1840;5.243;137.2;GAZ+ELEC HNR
110;1981;6.817;178.92;GAZOLE
80;1320;5.626;128.4;ESSENCE
131;1305;6.143;139.5;ESSENCE
70;1577;5.216;136.76;GAZOLE
116;1321;5.809;131.27;ESS+ELEC HNR
84;1497;6.325;143.5;ESSENCE
170;1275;6.536;148.7;ESSENCE
195;1445;6.841;156.3;ESSENCE
90;1634;4.894;128.3;GAZOLE
75;1180;5.418;123.2;ESSENCE
140;1605;5.301;138.9;GAZOLE
90;1646;4.894;128.3;GAZOLE
73.6;959;5.015;114;ESSENCE
100;1290;5.585;127.3;ESSENCE
135;1960;1.756;40.05;ELEC+ESSENC HR
131;1470;6.445;146.8;ESSENCE
140;1605;5.301;138.9;GAZOLE
117.5;1323;5.512;124.8;ESSENCE
275;1825;7.945;180.7;ESS+ELEC HNR
110;1988;6.941;182.22;GAZOLE
75;1535;4.598;120.4;GAZOLE
81;1266;4.689;106.6;ESS+ELEC HNR
110;1810;5.546;145.2;GAZ+ELEC HNR
91.9;1136;4.914;110.9;ESS+ELEC HNR
100;1350;5.585;127.3;ESSENCE
110.1;1486;6.467;146.8;ESS+ELEC HNR
210;1925;5.726;149.9;GAZ+ELEC HNR
85;1475;5.031;131.7;GAZOLE
116;1298;5.809;131.27;ESS+ELEC HNR
132.2;1780;6.426;146;ESS+ELEC HNR
125;2245;6.941;182.22;GAZOLE
110.1;1463;6.467;146.8;ESS+ELEC HNR
110;1270;5.594;126.2;ESSENCE
225;1605;7.584;173.1;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
115;1520;5.866;133.5;ESS+ELEC HNR
84;1581;6.325;143.5;ESSENCE
210;1780;5.2;136.2;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
140;1705;4.784;125.3;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
103;1329;6.338;143;ESS+ELEC HNR
110;1450;6.08;137.15;ESSENCE
91.9;1136;4.914;110.9;ESS+ELEC HNR
