Puissance;PoidsAVide;ConsoMixte;CO2;Energie
135;1800;7.421;168.7;ESS+ELEC HNR
103;1266;5.835;132;ESSENCE
67;1199;5.753;130;ESSENCE
140;1745;5.868;153.8;GAZOLE
96;1420;5.768;131;ESS+ELEC HNR
110;1963;6.817;178.92;GAZOLE
135;1620;6.564;149.1;ESSENCE
110;1485;5.864;153.8;GAZOLE
75;1330;5.926;135;ESSENCE
250;1830;5.668;148.5;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
100;1320;5.577;127.1;ESSENCE
110;1380;4.562;119.6;GAZOLE
103;1329;6.338;143;ESS+ELEC HNR
95.6;2045;7.188;188.51;GAZOLE
69.9;1114;7.052;115.51;SUPERETHANOL
100;1175;5.437;123.5;ESSENCE
131;1390;5.902;134.7;ESSENCE
131;1430;5.902;134.7;ESSENCE
210;1935;6.102;159.7;GAZ+ELEC HNR
180;1815;7.487;170.2;ESS+ELEC HNR
100;1430;6.289;143.1;ESSENCE
100;1430;6.228;141.6;ESSENCE
51.5;989;4.979;113.6;ESS+ELEC HNR
73.5;1130;5.02;114;ESS+ELEC HNR
68;1300;4.642;105.28;ESS+ELEC HNR
75;1430;4.925;129.14;GAZOLE
95;1270;6.247;141.12;ESS+ELEC HNR
125;2058;6.941;182.22;GAZOLE
131;1305;6.143;139.5;ESSENCE
206;1530;7.564;171.49;ESSENCE
173;2095;6.535;171;GAZ+ELEC HNR
96;1420;5.644;126.96;ESSENCE
118;1465;4.79;125.5;GAZOLE
91.9;1136;4.914;110.9;ESS+ELEC HNR
140;1760;5.038;132;GAZ+ELEC HNR
100;1320;5.577;127.1;ESSENCE
131;1205;6.143;139.5;ESSENCE
250;2025;6.47;169.4;GAZ+ELEC HNR
73.5;1100;5.196;118;ESSENCE
100;1470;6.194;141;ESSENCE
390;1930;10.487;238.9;ESSENCE
100;1430;6.228;141.6;ESSENCE
74;1173;4.092;107.3;GAZOLE
103;1329;6.338;143;ESS+ELEC HNR
80;1320;5.626;128.4;ESSENCE
100;1285;5.437;123.5;ESSENCE
210;1935;6.102;159.7;GAZ+ELEC HNR
85;1594;5.49;143.7;GAZOLE
110;1810;5.546;145.2;GAZ+ELEC HNR
193;2100;7.578;171.48;ESS+ELEC HNR
100;1150;5.424;123;ESSENCE
85;1432;4.548;119.41;GAZOLE
131;1390;5.902;134.7;ESSENCE
154;1745;5.868;153.8;GAZOLE
225;1605;7.584;173.1;ESSENCE
110;1545;4.741;124.2;GAZOLE
100;1375;5.577;127.1;ESSENCE
100;1320;5.577;127.1;ESSENCE
210;1845;5.502;144.2;GAZ+ELEC HNR
100;1285;5.437;123.5;ESSENCE
85;1409;4.551;119.3;GAZOLE
375;1775;9.94;226;ESSENCE
147;1850;4.735;124;GAZ+ELEC HNR
80;1340;5.753;131.4;ESSENCE
100;1175;5.437;123.5;ESSENCE
147;1480;5.71;149.75;GAZOLE
115;1520;5.866;133.5;ESS+ELEC HNR
70;1577;5.42;141.66;GAZOLE
140;1725;5.251;137.7;GAZ+ELEC HNR
185;1102;6.712;151.96;ESSENCE
85;1346;4.429;116.21;GAZOLE
140;1705;4.784;125.3;GAZ+ELEC HNR
100;1430;6.289;143.1;ESSENCE
100;1397;4.979;130.4;GAZ+ELEC HNR
131;1465;6.568;149.5;ESSENCE
69;1243;4.127;92.9;ESS+ELEC HNR
84;1497;6.325;143.5;ESSENCE
170;1375;6.536;148.7;ESSENCE
100;1320;5.577;127.1;ESSENCE
110.1;1486;6.467;146.8;ESS+ELEC HNR
225;1615;7.474;170.3;ESSENCE
100;1290;5.585;127.3;ESSENCE
55;1210;5.365;121.9;ESSENCE
147;1850;5.383;141;GAZ+ELEC HNR
100;1430;6.289;143.1;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
51.5;993;4.662;106;ESS+ELEC HNR
95;1310;6.285;141.98;ESS+ELEC HNR
85;1346;4.429;116.21;GAZOLE
74;1173;4.092;107.3;GAZOLE
100;1320;5.577;127.1;ESSENCE
110;1471;6.392;144.2;ESSENCE
221;1109;6.755;153.21;ESSENCE
110;1660;4.98;130.6;GAZ+ELEC HNR
81;1226;5.465;124;ESSENCE
131;1325;5.803;131.9;ESSENCE
140;1670;4.862;127.4;GAZ+ELEC HNR
140;1535;5.12;134;GAZOLE
110;1545;4.761;124.7;GAZOLE
110;1810;5.546;145.2;GAZ+ELEC HNR
210;1935;6.102;159.7;GAZ+ELEC HNR
100;1375;5.577;127.1;ESSENCE
250;1925;5.822;152.4;GAZ+ELEC HNR
100;1200;5.424;123;ESSENCE
145;1837;5.962;156;GAZ+ELEC HNR
131;1430;5.902;134.7;ESSENCE
100;1290;5.585;127.3;ESSENCE
74;1090;5.131;115.93;ESSENCE
91.9;1136;4.914;110.9;ESS+ELEC HNR
51.5;999;4.979;113.6;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
67;1221;5.697;128.57;ESSENCE
55;1210;5.365;121.9;ESSENCE
173;2095;6.535;171;GAZ+ELEC HNR
275;1890;7.712;176.2;ESS+ELEC HNR
103;1245;5.702;129.1;ESS+ELEC HNR
250;1830;5.668;148.5;GAZ+ELEC HNR
140;1705;4.784;125.3;GAZ+ELEC HNR
69;1361;4.714;106.22;ESS+ELEC HNR
110;1475;4.685;122.6;GAZOLE
103;1340;5.835;132;ESSENCE
110;1475;4.685;122.6;GAZOLE
77.2;1519;0.82;18.56;ELEC+ESSENC HR
100;1290;5.585;127.3;ESSENCE
80;1320;5.626;128.4;ESSENCE
61.8;909;5.378;122;ESSENCE
110;1600;5.022;131.7;GAZOLE
110;1981;6.817;178.92;GAZOLE
280;1930;10.6;240;ESSENCE
150;1655;6.467;145.9;ESS+ELEC HNR
331;1515;10.23;232;ESSENCE
135;1880;1.525;34.35;ELEC+ESSENC HR
165;1540;6.47;146.37;ESSENCE
100;1430;6.289;143.1;ESSENCE
132.4;1564;5.503;125;ESS+ELEC HNR
132.2;1780;6.426;146;ESS+ELEC HNR
85;1495;4.991;130.7;GAZOLE
85;1410;4.271;112;GAZOLE
100;1430;6.289;143.1;ESSENCE
140;1605;4.519;118.4;GAZ+ELEC HNR
140;1605;5.301;138.9;GAZOLE
69;1435;4.72;106.3;ESS+ELEC HNR
88;1260;4.78;125.34;GAZOLE
100;1370;4.498;117.8;GAZ+ELEC HNR
117.5;1285;5.75;130.5;ESSENCE
131;1390;5.902;134.7;ESSENCE
95.6;1964;5.832;152.85;GAZOLE
85;1375;4.42;115.7;GAZOLE
250;2020;6.501;170.2;GAZ+ELEC HNR
75;1390;6.084;139;ESSENCE
100;1290;5.585;127.3;ESSENCE
110;1342;6.414;145.8;ESSENCE
131;1325;5.803;131.9;ESSENCE
103;1298;5.813;131.37;ESS+ELEC HNR
275;1740;7.435;169.4;ESS+ELEC HNR
67;1099;5.154;116.57;ESSENCE
195;1445;6.841;156.3;ESSENCE
51.5;1012;4.662;106;ESS+ELEC HNR
210;1780;5.2;136.2;GAZ+ELEC HNR
275;1690;8.084;183.8;ESSENCE
250;1925;5.822;152.4;GAZ+ELEC HNR
85;1495;4.991;130.7;GAZOLE
110;1810;5.546;145.2;GAZ+ELEC HNR
100;1290;5.585;127.3;ESSENCE
243;2220;1.9;43.9;ELEC+ESSENC HR
140;1745;5.868;153.8;GAZOLE
132.2;1780;6.426;146;ESS+ELEC HNR
51.5;983;4.662;106;ESS+ELEC HNR
110;1755;4.994;130.7;GAZ+ELEC HNR
170;1275;6.536;148.7;ESSENCE
100;1320;5.577;127.1;ESSENCE
132.4;1574;5.503;125;ESS+ELEC HNR
100;1430;6.289;143.1;ESSENCE
100;1430;6.228;141.6;ESSENCE
225;1605;7.584;173.1;ESSENCE
110;1810;5.546;145.2;GAZ+ELEC HNR
100;1175;5.437;123.5;ESSENCE
68;1215;4.331;98.15;ESS+ELEC HNR
131;1205;6.143;139.5;ESSENCE
80;1340;5.753;131.4;ESSENCE
110;1962;6.817;178.92;GAZOLE
107;1610;6.625;150.32;ESS+ELEC HNR
74;1090;4.853;108.97;ESSENCE
131;1415;6.262;142.6;ESSENCE
135;1690;6.644;151.5;ESSENCE
135;1880;1.525;34.35;ELEC+ESSENC HR
75;1430;4.925;129.14;GAZOLE
110;1475;4.685;122.6;GAZOLE
49.3;903;4.994;113;ESSENCE
103;1392;5.835;132.4;ESSENCE
100;1375;5.577;127.1;ESSENCE
265;1920;8.692;197.7;ESS+ELEC HNR
77.2;1415;4.393;99.81;ESS+ELEC HNR
80;1340;5.753;131.4;ESSENCE
375;1775;9.94;226;ESSENCE
88.3;1150;5.099;116;ESS+ELEC HNR
135;1960;1.756;40.05;ELEC+ESSENC HR
88.3;1309;5.3;119.9;ESS+ELEC HNR
103;1528;6.499;147;ESSENCE
90;1646;4.894;128.3;GAZOLE
100;1230;5.437;123.5;ESSENCE
250;2005;6.501;170.2;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
185;1102;6.712;151.96;ESSENCE
100;1410;6.059;137.8;ESSENCE
135;1800;7.421;168.7;ESS+ELEC HNR
131;1225;5.803;131.9;ESSENCE
68;1090;3.757;85.05;ESS+ELEC HNR
100;1320;5.577;127.1;ESSENCE
107;1610;6.625;150.32;ESS+ELEC HNR
154;1745;5.868;153.8;GAZOLE
165;1540;6.47;146.37;ESSENCE
118;1680;5.571;146;GAZOLE
88.3;1150;5.099;116;ESS+ELEC HNR
100;1175;5.437;123.5;ESSENCE
275;1740;7.435;169.4;ESS+ELEC HNR
140;1665;4.968;130.3;GAZ+ELEC HNR
67;1134;5.763;130;ESS+G.P.L.
74;1134;7.047;113.56;ESS+G.P.L.
110;1575;4.889;128.3;GAZOLE
69.9;1114;7.052;115.51;SUPERETHANOL
81;1254;5.261;119.02;ESSENCE
100;1290;5.585;127.3;ESSENCE
100;1320;5.577;127.1;ESSENCE
131;1415;6.262;142.6;ESSENCE
135;1960;1.756;40.05;ELEC+ESSENC HR
110;1545;4.761;124.7;GAZOLE
61.8;909;5.378;122;ESSENCE
140;1775;4.84;126.8;GAZ+ELEC HNR
115;1520;5.866;133.5;ESS+ELEC HNR
103;1329;6.338;143;ESS+ELEC HNR
110;1510;4.847;126.8;GAZOLE
75;1390;6.084;139;ESSENCE
131;1225;5.803;131.9;ESSENCE
100;1150;5.424;123;ESSENCE
135;1490;6.206;140.9;ESSENCE
125;2262;6.941;182.22;GAZOLE
68;1175;4.331;98.15;ESS+ELEC HNR
140;1605;5.301;138.9;GAZOLE
375;1780;9.94;226;ESSENCE
131;1465;6.568;149.5;ESSENCE
77.2;1519;0.82;18.56;ELEC+ESSENC HR
140;1605;4.519;118.4;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
100;1375;5.577;127.1;ESSENCE
131;1470;6.445;146.8;ESSENCE
210;1780;5.2;136.2;GAZ+ELEC HNR
375;1775;9.94;226;ESSENCE
135;1525;6.231;141.8;ESSENCE
135;1490;6.206;140.9;ESSENCE
95;1285;5.843;132.05;ESS+ELEC HNR
51.5;1005;4.979;113.6;ESS+ELEC HNR
135;1960;1.756;40.05;ELEC+ESSENC HR
75;1265;5.34;121.4;ESSENCE
110;2012;6.817;178.92;GAZOLE
100;1500;6.281;141.8;ESSENCE
135;1800;7.421;168.7;ESS+ELEC HNR
110;1810;5.546;145.2;GAZ+ELEC HNR
170;1375;6.536;148.7;ESSENCE
75;1430;4.925;129.14;GAZOLE
210;1925;5.726;149.9;GAZ+ELEC HNR
110;1335;5.652;127.5;ESSENCE
100;1230;5.437;123.5;ESSENCE
69;1266;4.127;92.9;ESS+ELEC HNR
140;1840;5.243;137.2;GAZ+ELEC HNR
103;1329;6.338;143;ESS+ELEC HNR
170;1275;6.536;148.7;ESSENCE
100;1531;4.961;129.9;GAZ+ELEC HNR
84;1497;6.325;143.5;ESSENCE
331;1675;10.272;233;ESSENCE
110;2010;6.817;178.92;GAZOLE
110;1342;5.647;128.4;ESSENCE
67;1072;5.109;115.2;ESSENCE
135;1715;6.542;149;ESS+ELEC HNR
275;1690;8.084;183.8;ESSENCE
135;1800;7.421;168.7;ESS+ELEC HNR
110;1510;4.847;126.8;GAZOLE
250;2020;6.501;170.2;GAZ+ELEC HNR
103;1298;5.813;131.37;ESS+ELEC HNR
100;1290;5.585;127.3;ESSENCE
135;1715;6.542;149;ESS+ELEC HNR
100;1430;6.228;141.6;ESSENCE
195;1865;9.7;219;ESSENCE
275;1825;7.945;180.7;ESS+ELEC HNR
195;1445;6.841;156.3;ESSENCE
115;1520;5.866;133.5;ESS+ELEC HNR
110;1545;4.741;124.2;GAZOLE
132.4;1574;5.503;125;ESS+ELEC HNR
118;1619;5.638;148;GAZOLE
180;1470;7.245;164.4;ESSENCE
91.9;1136;4.914;110.9;ESS+ELEC HNR
145;1690;4.684;122.9;GAZ+ELEC HNR
210;1845;5.502;144.2;GAZ+ELEC HNR
132.4;1574;5.503;125;ESS+ELEC HNR
132.4;1574;5.503;125;ESS+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
117.5;1255;5.512;124.8;ESSENCE
110;1329;4.936;112;ESS+ELEC HNR
117.5;1323;5.512;124.8;ESSENCE
275;1825;7.945;180.7;ESS+ELEC HNR
67;1134;5.763;130;ESS+G.P.L.
74;1134;7.047;113.56;ESS+G.P.L.
90;1660;4.991;130.9;GAZ+ELEC HNR
140;1775;4.84;126.8;GAZ+ELEC HNR
250;2020;6.501;170.2;GAZ+ELEC HNR
81;1090;5.632;127.05;ESSENCE
75;1180;5.418;123.2;ESSENCE
140;1535;5.12;134;GAZOLE
243;2210;2.2;50.8;ELEC+ESSENC HR
112;1698;5.714;130.89;ESS+ELEC HNR
135;1825;1.355;30.5;ELEC+ESSENC HR
103;1329;6.338;143;ESS+ELEC HNR
140;1775;4.84;126.8;GAZ+ELEC HNR
225;1615;7.474;170.3;ESSENCE
110;1810;5.546;145.2;GAZ+ELEC HNR
67;1199;5.697;128.57;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
68;1175;4.331;98.15;ESS+ELEC HNR
96;1500;5.669;129;ESS+ELEC HNR
131;1325;5.803;131.9;ESSENCE
110;1540;5.082;133;GAZOLE
110;1485;5.201;136.4;GAZOLE
265;1910;8.692;197.7;ESS+ELEC HNR
117.5;1302;5.512;124.8;ESSENCE
70;1577;5.42;141.66;GAZOLE
100;1410;6.059;137.8;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
88.3;1272;5.896;133.6;ESSENCE
110;1981;6.817;178.92;GAZOLE
61;980;5.248;118.12;ESSENCE
180;1815;7.487;170.2;ESS+ELEC HNR
100;1590;5.454;142.9;GAZ+ELEC HNR
51.5;989;4.662;106;ESS+ELEC HNR
110;1270;5.594;126.2;ESSENCE
225;1605;7.584;173.1;ESSENCE
81;1226;5.465;124;ESSENCE
100;1601;5.454;142.9;GAZ+ELEC HNR
51.5;1012;4.662;106;ESS+ELEC HNR
96;1519;6.656;150.86;ESSENCE
110;1202;6.162;139.9;ESSENCE
110;1540;5.082;133;GAZOLE
100;1470;6.169;140.4;ESSENCE
74;1090;4.853;108.97;ESSENCE
140;1605;5.301;138.9;GAZOLE
140;1840;5.621;147.2;GAZ+ELEC HNR
100;1375;5.577;127.1;ESSENCE
51.5;985;4.662;106;ESS+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
275;1890;7.712;176.2;ESS+ELEC HNR
110;1324;5.649;128.4;ESSENCE
103;1329;6.338;143;ESS+ELEC HNR
120;1880;1.49;33.57;ELEC+ESSENC HR
135;1900;1.505;34.22;ELEC+ESSENC HR
116;1298;5.809;131.27;ESS+ELEC HNR
210;1880;5.276;138.2;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
100;1410;6.059;137.8;ESSENCE
131;1265;6.143;139.5;ESSENCE
331;1565;10.272;233;ESSENCE
140;1580;4.547;119.1;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
131;1390;5.902;134.7;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
51.5;1002;4.662;106;ESS+ELEC HNR
265;1910;8.692;197.7;ESS+ELEC HNR
140;1465;4.79;125.5;GAZOLE
147;1205;6.137;138.5;ESSENCE
210;1880;5.276;138.2;GAZ+ELEC HNR
110;1471;6.392;144.2;ESSENCE
140;1840;5.243;137.2;GAZ+ELEC HNR
100;1175;5.437;123.5;ESSENCE
131;1280;5.803;131.9;ESSENCE
110;1810;5.546;145.2;GAZ+ELEC HNR
140;1760;5.038;132;GAZ+ELEC HNR
96;1343;4.17;109.19;GAZOLE
100;1527;4.961;129.9;GAZ+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
148;1445;6.973;158;ESSENCE
91.9;1136;4.914;110.9;ESS+ELEC HNR
100;1470;6.169;140.4;ESSENCE
110;1540;5.082;133;GAZOLE
81;1278;4.689;106.6;ESS+ELEC HNR
69;1361;4.714;106.22;ESS+ELEC HNR
135;1825;1.355;30.5;ELEC+ESSENC HR
72;1252;4.464;101.28;ESS+ELEC HNR
116;1347;5.825;131.5;ESS+ELEC HNR
331;1565;10.272;233;ESSENCE
110;1600;5.022;131.7;GAZOLE
225;1605;7.584;173.1;ESSENCE
140;1840;5.243;137.2;GAZ+ELEC HNR
80;1320;5.626;128.4;ESSENCE
81;1181;5.466;124.1;ESSENCE
110;1380;4.562;119.6;GAZOLE
148;1445;6.973;158;ESSENCE
84;1497;6.325;143.5;ESSENCE
110;1575;4.836;126.9;GAZOLE
275;1740;7.435;169.4;ESS+ELEC HNR
100;1500;6.322;142.7;ESSENCE
131;1390;5.902;134.7;ESSENCE
135;1490;6.206;140.9;ESSENCE
135;1690;6.644;151.5;ESSENCE
140;1760;5.038;132;GAZ+ELEC HNR
110;1556;5.022;131.7;GAZOLE
100;1320;5.577;127.1;ESSENCE
210;1780;5.2;136.2;GAZ+ELEC HNR
140;1580;4.547;119.1;GAZ+ELEC HNR
135;1490;6.206;140.9;ESSENCE
110;1810;5.546;145.2;GAZ+ELEC HNR
110;1810;5.546;145.2;GAZ+ELEC HNR
117.5;1255;5.512;124.8;ESSENCE
140;1535;5.12;134;GAZOLE
69;1435;4.814;108.7;ESS+ELEC HNR
110;1810;5.546;145.2;GAZ+ELEC HNR
88.3;1150;5.099;116;ESS+ELEC HNR
85;1372;4.548;119.41;GAZOLE
51.5;993;4.979;113.6;ESS+ELEC HNR
110;1354;6.347;143.2;ESSENCE
81;1300;5.261;119.02;ESSENCE
80;1340;5.753;131.4;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
55;1210;5.365;121.9;ESSENCE
154;1745;5.868;153.8;GAZOLE
131;1225;5.803;131.9;ESSENCE
120;1880;1.49;33.57;ELEC+ESSENC HR
68;1300;4.642;105.28;ESS+ELEC HNR
110;1270;5.594;126.2;ESSENCE
131;1430;5.902;134.7;ESSENCE
103;1528;6.499;147;ESSENCE
80;1340;5.753;131.4;ESSENCE
100;1175;5.437;123.5;ESSENCE
331;1635;10.272;233;ESSENCE
133;1420;6.432;145.47;ESSENCE
250;1995;6.09;159.6;GAZ+ELEC HNR
131;1325;5.803;131.9;ESSENCE
110;1510;4.949;129.5;GAZOLE
95;1205;5.303;119.82;ESS+ELEC HNR
140;1535;5.12;134;GAZOLE
140;1680;5.571;146;GAZOLE
132.4;1640;6.161;140;ESS+ELEC HNR
100;1370;4.614;120.6;GAZ+ELEC HNR
131;1390;5.902;134.7;ESSENCE
90;1568;4.894;128.3;GAZOLE
135;1960;1.756;40.05;ELEC+ESSENC HR
320;1950;8.971;204;ESS+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
210;1845;5.502;144.2;GAZ+ELEC HNR
77.2;1415;4.393;99.81;ESS+ELEC HNR
73.5;1100;5.196;118;ESSENCE
210;1780;5.2;136.2;GAZ+ELEC HNR
110;1485;5.864;153.8;GAZOLE
72;1420;4.846;109.37;ESS+ELEC HNR
68;1090;3.757;85.05;ESS+ELEC HNR
139;1802;6.09;160;GAZOLE
100;1375;5.577;127.1;ESSENCE
95.6;2012;5.832;152.85;GAZOLE
283;1665;10.051;228;ESSENCE
72;1420;4.846;109.37;ESS+ELEC HNR
51.5;1022;4.662;106;ESS+ELEC HNR
110;1963;6.817;178.92;GAZOLE
135;1960;1.756;40.05;ELEC+ESSENC HR
324;1960;11.1;251;ESSENCE
100;1500;6.322;142.7;ESSENCE
210;1825;5.596;146.7;GAZ+ELEC HNR
353;1595;10.535;239;ESSENCE
131;1415;6.262;142.6;ESSENCE
51.5;1009;4.662;106;ESS+ELEC HNR
69;1243;4.127;92.9;ESS+ELEC HNR
100;1510;4.846;126.9;GAZ+ELEC HNR
70;1577;5.216;136.76;GAZOLE
91.9;1136;4.914;110.9;ESS+ELEC HNR
170;1375;6.536;148.7;ESSENCE
110;1545;4.741;124.2;GAZOLE
90;1646;4.894;128.3;GAZOLE
131;1225;5.803;131.9;ESSENCE
74;1090;4.853;108.97;ESSENCE
88;1260;4.78;125.34;GAZOLE
96;1343;4.17;109.19;GAZOLE
49;1028;5.219;118;ESSENCE
131;1595;5.265;119.27;ESS+ELEC HNR
85;1579;5.549;145.49;GAZOLE
112;1626;5.413;124.03;ESS+ELEC HNR
131;1280;5.803;131.9;ESSENCE
100;1320;5.577;127.1;ESSENCE
140;1665;4.968;130.3;GAZ+ELEC HNR
245;1915;8.402;191.9;ESSENCE
96;1270;4.815;126.29;GAZOLE
85;1465;4.844;126.8;GAZOLE
110;1540;5.082;133;GAZOLE
91.9;1269;5.057;114.38;ESS+ELEC HNR
154;1565;5.302;139;GAZOLE
193;2205;7.893;178.63;ESS+ELEC HNR
69.9;1114;7.052;115.51;SUPERETHANOL
69.9;1114;7.052;115.51;SUPERETHANOL
96;1430;4.956;129.96;GAZOLE
116;1321;5.809;131.27;ESS+ELEC HNR
92;1284;6.114;139.36;ESSENCE
112;1769;0.9;21;ELEC+ESSENC HR
140;1605;5.301;138.9;GAZOLE
210;1925;5.726;149.9;GAZ+ELEC HNR
51.5;1001;4.662;106;ESS+ELEC HNR
110;1575;4.889;128.3;GAZOLE
88.3;1155;5.106;116;ESS+ELEC HNR
100;1290;5.585;127.3;ESSENCE
135;1620;6.564;149.1;ESSENCE
61.8;908;5.164;117;ESSENCE
53;960;5.534;125.71;ESSENCE
131;1305;6.143;139.5;ESSENCE
210;1935;6.102;159.7;GAZ+ELEC HNR
85;1440;4.858;127.3;GAZOLE
67;1199;5.697;128.57;ESSENCE
145;1837;5.962;156;GAZ+ELEC HNR
135;1800;7.421;168.7;ESS+ELEC HNR
131;1280;5.803;131.9;ESSENCE
81;1090;5.166;116.4;ESSENCE
100;1430;6.228;141.6;ESSENCE
81;1226;5.465;124;ESSENCE
275;1740;7.435;169.4;ESS+ELEC HNR
140;1680;5.571;146;GAZOLE
100;1290;5.585;127.3;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
170;1340;6.776;154.2;ESSENCE
67;1126;5.672;128.3;ESSENCE
147;1192;6.137;138.5;ESSENCE
135;1690;6.644;151.5;ESSENCE
275;1825;7.945;180.7;ESS+ELEC HNR
84;1211;5.833;132.45;ESSENCE
195;1445;6.841;156.3;ESSENCE
221;1109;6.755;153.21;ESSENCE
81;1300;5.261;119.02;ESSENCE
210;1935;6.102;159.7;GAZ+ELEC HNR
100;1410;6.059;137.8;ESSENCE
131;1390;5.902;134.7;ESSENCE
103;1329;6.338;143;ESS+ELEC HNR
49.3;924;4.844;110;ESSENCE
131;1390;5.902;134.7;ESSENCE
80;1320;5.626;128.4;ESSENCE
110;1330;5.647;128.4;ESSENCE
110;2033;6.817;178.92;GAZOLE
75;1330;5.926;135;ESSENCE
115;1575;6.625;149.4;ESSENCE
117.5;1325;6.151;139.2;ESSENCE
88.3;1130;5.061;115;ESS+ELEC HNR
243;2210;1.9;43.9;ELEC+ESSENC HR
68;1085;3.757;85.05;ESS+ELEC HNR
116;1274;5.88;133;ESSENCE
100;1320;5.577;127.1;ESSENCE
116;1298;5.809;131.27;ESS+ELEC HNR
110;1488;6.182;139.5;ESSENCE
110;1510;4.847;126.8;GAZOLE
441;2630;15.741;358.3;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
140;1705;4.784;125.3;GAZ+ELEC HNR
100;1285;5.437;123.5;ESSENCE
193;2100;7.578;171.48;ESS+ELEC HNR
105;1458;4.715;107;ESS+ELEC HNR
112;1626;5.413;124.03;ESS+ELEC HNR
100;1150;5.424;123;ESSENCE
103;1505;6.323;143;ESSENCE
67;1126;5.672;128.3;ESSENCE
147;1833;1.2;28;ELEC+ESSENC HR
221;1109;6.755;153.21;ESSENCE
100;1407;4.498;117.8;GAZ+ELEC HNR
61.8;1045;5.211;118;ESSENCE
100;1430;6.289;143.1;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
115;1520;5.866;133.5;ESS+ELEC HNR
68;1090;3.757;85.05;ESS+ELEC HNR
139;1848;6.09;160;GAZOLE
210;1780;5.2;136.2;GAZ+ELEC HNR
68;1041;5.331;120.6;ESSENCE
265;1910;8.692;197.7;ESS+ELEC HNR
131;1430;5.902;134.7;ESSENCE
51.5;999;4.662;106;ESS+ELEC HNR
100;1410;6.059;137.8;ESSENCE
110;1308;4.936;112;ESS+ELEC HNR
225;1570;7.151;161.5;ESSENCE
69;1435;4.814;108.7;ESS+ELEC HNR
69;1361;4.714;106.22;ESS+ELEC HNR
275;1825;7.945;180.7;ESS+ELEC HNR
140;1840;5.621;147.2;GAZ+ELEC HNR
110;2033;6.817;178.92;GAZOLE
185;1102;6.712;151.96;ESSENCE
331;1675;10.272;233;ESSENCE
68;1068;6.02;136.4;ESSENCE
69.9;1114;7.052;115.51;SUPERETHANOL
74;1173;4.092;107.3;GAZOLE
103;1241;5.699;129;ESSENCE
85;1495;4.991;130.7;GAZOLE
135;1960;1.756;40.05;ELEC+ESSENC HR
69.9;1114;7.052;115.51;SUPERETHANOL
68;1090;3.757;85.05;ESS+ELEC HNR
140;1605;4.519;118.4;GAZ+ELEC HNR
100;1320;5.577;127.1;ESSENCE
140;1780;4.987;130.5;GAZ+ELEC HNR
100;1500;6.281;141.8;ESSENCE
143;2070;1.115;29.26;ELEC+GAZOLE HR
140;1705;4.784;125.3;GAZ+ELEC HNR
75;1090;3.837;100.56;GAZOLE
51.5;992;4.662;106;ESS+ELEC HNR
61.8;909;5.378;122;ESSENCE
210;1825;5.596;146.7;GAZ+ELEC HNR
131;1390;5.902;134.7;ESSENCE
96;1430;4.956;129.96;GAZOLE
100;1320;5.577;127.1;ESSENCE
353;1545;10.493;238;ESSENCE
173;2095;6.535;171;GAZ+ELEC HNR
85;1440;4.858;127.3;GAZOLE
100;1290;5.585;127.3;ESSENCE
110;1545;4.741;124.2;GAZOLE
68;1090;3.757;85.05;ESS+ELEC HNR
88.3;1185;5.106;116;ESS+ELEC HNR
49.3;903;5.034;114;ESSENCE
140;1840;5.621;147.2;GAZ+ELEC HNR
100;1320;5.577;127.1;ESSENCE
275;1740;7.435;169.4;ESS+ELEC HNR
92;1040;5.159;120.93;ESSENCE
100;1175;5.437;123.5;ESSENCE
275;1825;7.945;180.7;ESS+ELEC HNR
250;2020;6.501;170.2;GAZ+ELEC HNR
131;1430;5.902;134.7;ESSENCE
73.5;1120;5.381;122;ESSENCE
92;1284;6.114;139.36;ESSENCE
100;1320;5.577;127.1;ESSENCE
49;1028;5.219;118;ESSENCE
85;1475;5.031;131.7;GAZOLE
283;1665;10.051;228;ESSENCE
173;2095;6.535;171;GAZ+ELEC HNR
135;1900;1.505;34.22;ELEC+ESSENC HR
225;1525;7.447;168.1;ESSENCE
95.6;2012;5.832;152.85;GAZOLE
73.5;1120;5.381;122;ESSENCE
375;1725;9.635;219;ESSENCE
